Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb
0.3181866,0.1175,1.345634,0.6293507,-0.6263144,-0.01761274,-0.07449513,0.7758031,5.960464E-08,0,0.1220576,0.08061264,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.411407,0.1164425,1.345229,0.6318108,-0.6253424,-0.02231676,-0.07359223,0.7765521,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.4606504,0.115496,1.344254,0.633173,-0.6245409,-0.02525005,-0.07398506,0.7770697,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.4891566,0.1144464,1.342692,0.6344751,-0.6226222,-0.02822597,-0.07284172,0.7786135,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.51972,0.1136358,1.341563,0.6351799,-0.6210499,-0.03122299,-0.0716709,0.7798624,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.5619165,0.112969,1.340309,0.6358191,-0.6198479,-0.03450382,-0.07021495,0.7808124,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.5967167,0.1127762,1.339831,0.635978,-0.6186307,-0.03769167,-0.06853887,0.7817787,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.6279425,0.1128124,1.338127,0.6365524,-0.6172349,-0.04045429,-0.06602085,0.7829596,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.6585777,0.1133172,1.33637,0.6372653,-0.6161623,-0.04088572,-0.06540532,0.7838333,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
0.6840053,0.1139391,1.334843,0.6377247,-0.615162,-0.03941917,-0.06536081,0.7846973,5.960464E-08,0,0.1220576,0.08061239,0.8183812,0,0,0,0,0,0,0,0,0,0,0,0
