Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb
16.24421,0.3235927,0.9900003,0.2818791,-0.4876807,0.4978798,0.2316672,0.6786852,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.39661,0.2991897,0.9845684,0.2853411,-0.4685667,0.5063008,0.2640206,0.6740905,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.46027,0.2801123,0.9792455,0.2976252,-0.465865,0.5017927,0.2803613,0.6727343,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5092,0.2629995,0.9791449,0.3084063,-0.4706926,0.4850299,0.283413,0.6803466,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5494,0.2417886,0.9808441,0.3138073,-0.4780457,0.471709,0.2858518,0.6835581,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5965,0.2218916,0.9822059,0.3175181,-0.4885996,0.4523588,0.2820842,0.6907029,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.64284,0.208884,0.9829633,0.3196146,-0.4973568,0.4339435,0.2771121,0.6982393,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.68916,0.1939841,0.9845897,0.3222719,-0.5050195,0.4195842,0.275227,0.7022496,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.74469,0.1804975,0.9853356,0.3256709,-0.5160976,0.3996772,0.2661042,0.7092884,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.77991,0.1670987,0.9865549,0.3276678,-0.527137,0.3779463,0.260098,0.7152847,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.81687,0.1541242,0.9885217,0.3280524,-0.5373402,0.3600523,0.2591778,0.717255,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.85821,0.1483517,0.9908342,0.3272054,-0.5494951,0.343304,0.2529864,0.7184675,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.89021,0.1426395,0.9934456,0.3246484,-0.5669012,0.3147525,0.2236214,0.7277001,5.960464E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.97329,0.1397607,0.994017,0.3223186,-0.6064522,0.2282409,0.1854155,0.7387441,5.960464E-08,0,0,0,0.007911997,0,0,0,0,0,0,0,0,0,0,0,0
17.30662,0.168168,0.9933327,0.301341,-0.6786736,-0.003396101,0.08977589,0.7289245,5.960464E-08,0,0.01878283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.46038,0.1694152,0.9920978,0.3005407,-0.676452,-0.0006372257,0.08504444,0.7315598,5.960464E-08,0,0.0229526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.52069,0.1700522,0.9916787,0.300795,-0.6754369,0.003819211,0.08438911,0.7325633,5.960464E-08,0,0.02309409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.57267,0.1701644,0.9917636,0.3012181,-0.6749481,0.007611184,0.08764992,0.7326013,5.960464E-08,0,0.0231312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.61895,0.169875,0.9916691,0.3019928,-0.6745569,0.00893149,0.08820208,0.7328804,5.960464E-08,0,0.02314011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.65427,0.1698065,0.9919746,0.30167,-0.6746014,0.008268518,0.08910028,0.7327386,5.960464E-08,0,0.0231422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.69207,0.1701532,0.9923996,0.3012089,-0.6749594,0.008531178,0.08849818,0.7324788,5.960464E-08,0,0.02314352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.72795,0.170165,0.9923243,0.3013328,-0.6749898,0.008648274,0.0895208,0.7323251,5.960464E-08,0,0.02314396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.77732,0.1704961,0.9923534,0.3012432,-0.6753874,0.008354797,0.08998641,0.7319047,5.960464E-08,0,0.02314418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.81135,0.170518,0.9923218,0.3017817,-0.6753286,0.008724292,0.09120148,0.7318043,5.960464E-08,0,0.0231444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.85288,0.1704519,0.9921087,0.3015758,-0.6750782,0.009039078,0.0925495,0.7318622,5.960464E-08,0,0.0231444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.89246,0.1701265,0.991698,0.301955,-0.6740602,0.01022334,0.09418704,0.7325757,5.960464E-08,0,0.0231444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.95537,0.1698772,0.9911727,0.3016535,-0.6735931,0.009983027,0.09379099,0.7330593,5.960464E-08,0,0.0231444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.00832,0.1696805,0.9907913,0.3014177,-0.6730004,0.01012172,0.09317978,0.7336795,5.960464E-08,0,0.0231444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.04783,0.1696186,0.9898823,0.3013951,-0.6721363,0.01119858,0.09315877,0.7344583,5.960464E-08,0,0.0231444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0844,0.1698879,0.9890989,0.301268,-0.6712222,0.01373033,0.09399212,0.7351447,5.960464E-08,0,0.0231444,0,0.01492108,0,0,0,0,0,0,0,0,0,0,0,0
18.12251,0.1704318,0.988267,0.3014349,-0.669451,0.01753978,0.09474137,0.7365812,5.960464E-08,0,0.0231444,0,0.01993851,0,0,0,0,0,0,0,0,0,0,0,0
18.16546,0.1717348,0.9872093,0.3014357,-0.6687307,0.02266632,0.0982735,0.7366328,5.960464E-08,0,0.0231444,0,0.02346745,0,0,0,0,0,0,0,0,0,0,0,0
18.23199,0.1728932,0.9856305,0.301744,-0.6677285,0.03065694,0.104122,0.7364492,5.960464E-08,0,0.0231444,0,0.04052661,0,0,0,0,0,0,0,0,0,0,0,0
18.27662,0.1734472,0.982619,0.3001812,-0.6690394,0.03513534,0.1131137,0.7337282,5.960464E-08,0,0.0231444,0,0.06193972,0,0,0,0,0,0,0,0,0,0,0,0
18.31416,0.173216,0.9751502,0.2980233,-0.6727163,0.03231327,0.1320793,0.727299,5.960464E-08,0,0.0231444,0,0.07544696,0,0,0,0,0,0,0,0,0,0,0,0
18.35639,0.1737417,0.9656579,0.2969171,-0.6744729,0.02270647,0.1547019,0.7215525,5.960464E-08,0,0.0231444,0,0.08094424,0,0,0,0,0,0,0,0,0,0,0,0
18.39324,0.1763322,0.9530949,0.2977447,-0.6693482,0.01469142,0.1855898,0.7192452,5.960464E-08,0,0.0231444,0,0.08280089,0,0,0,0,0,0,0,0,0,0,0,0
18.45739,0.1804155,0.9407802,0.2985255,-0.6575019,0.01720705,0.201953,0.7256792,5.960464E-08,0,0.0231444,0,0.08423663,0,0,0,0,0,0,0,0,0,0,0,0
18.50293,0.1848909,0.9288722,0.299193,-0.6389886,0.01613408,0.2182934,0.7374153,5.960464E-08,0,0.02135325,0,0.09167516,0,0,0,0,0,0,0,0,0,0,0,0
18.54294,0.195076,0.9128314,0.3014026,-0.6151705,0.01218939,0.2433729,0.7497908,5.960464E-08,0,0.02222748,0,0.09417304,0,0,0,0,0,0,0,0,0,0,0,0
18.57747,0.2066932,0.9094762,0.3011143,-0.6020544,0.01747099,0.2597736,0.7548133,5.960464E-08,0,0.009800659,0,0.08003176,0,0,0,0,0,0,0,0,0,0,0,0
18.6209,0.2200572,0.9130261,0.3023798,-0.5895389,0.02683764,0.2751299,0.7589645,5.960464E-08,0,0.004676807,0,0.06881324,0,0,0,0,0,0,0,0,0,0,0,0
18.66932,0.2346372,0.9207523,0.304328,-0.5779406,0.04314646,0.3038003,0.7561934,5.960464E-08,0,0.001625197,0,0.04469797,0,0,0,0,0,0,0,0,0,0,0,0
18.71046,0.2527726,0.9355779,0.3061666,-0.5746112,0.06305142,0.3328035,0.7450426,5.960464E-08,0,0.0006685667,0,0.03318937,0,0,0,0,0,0,0,0,0,0,0,0
18.74829,0.2747119,0.957808,0.3081991,-0.5759984,0.07929056,0.3649312,0.7271617,5.960464E-08,0,0.0002760253,0,0.02846829,0,0,0,0,0,0,0,0,0,0,0,0
18.78779,0.2907456,0.9817799,0.3087613,-0.5804936,0.0964486,0.4044036,0.7001304,5.960464E-08,0,0,0,0.03539149,0,0,0,0,0,0,0,0,0,0,0,0
