Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
20.54744,0.1214926,0.8480026,0.307689,-0.5982525,-0.3244841,0.6735327,0.2883709,5.960464e-08,0.0,0.0,0.0,0.0,-0.04918281,0.8285369,0.3272376,-0.7478154,0.3402367,-0.5427363,0.1744952,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.58073,0.1201756,0.8482991,0.3073944,-0.5996483,-0.3253718,0.672607,0.286627,5.960464e-08,0.0,0.0,0.0,0.0,-0.04854816,0.8277299,0.3266567,-0.7485029,0.3401688,-0.5417442,0.1747623,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.61658,0.1197043,0.847275,0.307845,-0.5994667,-0.3278249,0.6727162,0.2839428,5.960464e-08,0.0,0.0,0.0,0.0,-0.04770176,0.8272235,0.3256527,-0.7483101,0.34196,-0.5414726,0.1729241,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.65294,0.1192968,0.8480834,0.3076839,-0.5989925,-0.3309115,0.6718393,0.2834389,5.960464e-08,0.0,0.0,0.0,0.0,-0.04668764,0.8280166,0.3248306,-0.7496037,0.3428944,-0.5382931,0.17538,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.68805,0.1191004,0.8490865,0.3083429,-0.5996779,-0.3302495,0.6722794,0.2817128,5.960464e-08,0.0,0.0,0.0,0.0,-0.04606674,0.8273044,0.3250135,-0.7501382,0.343565,-0.5378645,0.1730823,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.71601,0.118864,0.850016,0.3077313,-0.6001496,-0.3297039,0.6720215,0.2819626,5.960464e-08,0.0,0.0,0.0,0.0,-0.04570818,0.8273425,0.3246976,-0.7502717,0.3448794,-0.5372835,0.1716883,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.7531,0.1189048,0.8507301,0.3073362,-0.6005361,-0.3288634,0.6719859,0.282206,5.960464e-08,0.0,0.0,0.0,0.0,-0.04521113,0.827969,0.3245538,-0.7512204,0.3445825,-0.5357952,0.172784,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.79325,0.118701,0.8509636,0.3065822,-0.6010754,-0.3274332,0.6721321,0.2823727,5.960464e-08,0.0,0.0,0.0,0.0,-0.04514547,0.8277168,0.3248684,-0.7513502,0.3450122,-0.5353292,0.1728066,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.82965,0.1183541,0.8511953,0.306019,-0.6020954,-0.325524,0.6715339,0.2838264,5.960464e-08,0.0,0.0,0.0,0.0,-0.04515343,0.8283076,0.3248642,-0.7517424,0.3451743,-0.5347199,0.1726642,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.86202,0.1184514,0.8504651,0.3059104,-0.6028495,-0.323499,0.6714213,0.2848059,5.960464e-08,0.0,0.0,0.0,0.0,-0.04515766,0.8286662,0.3252701,-0.7524012,0.3445479,-0.5338101,0.1738558,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.89304,0.118346,0.849852,0.305534,-0.6028181,-0.3232526,0.6711601,0.2857659,5.960464e-08,0.0,0.0,0.0,0.0,-0.04509616,0.8287622,0.3255827,-0.7524495,0.344295,-0.5342618,0.1727571,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
20.92577,0.1181319,0.8495861,0.3048765,-0.6032947,-0.322161,0.6704568,0.2876379,5.960464e-08,0.0,0.0,0.0,0.0,-0.04488196,0.829411,0.3252689,-0.7529742,0.3437067,-0.5333923,0.1743223,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
