class,mean_attention,std_attention,attention_entropy,max_attention
Abhaya,0.1,0.053853594,4.461365,0.24714963
Bhumisparsa,0.1,0.051389083,4.4635572,0.21066423
Dharmachakra,0.10000001,0.054747887,4.460293,0.26828995
Dhyana,0.1,0.05253733,4.465547,0.27154383
Jnana,0.099999994,0.047619157,4.482128,0.21852572
Karana,0.1,0.05281702,4.4519415,0.21860586
Ksepana,0.099999994,0.045589227,4.501702,0.22139965
Namaskara,0.10000001,0.059213027,4.4304786,0.29300976
Tarjani,0.1,0.052975297,4.4679065,0.25190374
Unknown/Transition,0.1,0.04882255,4.476733,0.25672302
Uttarabodhi,0.1,0.05642242,4.4502444,0.27282134
Varada,0.1,0.05051872,4.4748864,0.28506178
Vitarka,0.1,0.053581715,4.4555674,0.23031472
