class,mean_attention,std_attention,attention_entropy,max_attention
Abhaya,0.10000001,0.05333372,4.4310255,0.20833333
Bhumisparsa,0.099999994,0.070196435,4.3137584,0.33175984
Dharmachakra,0.1,0.08238982,4.258619,0.45833334
Dhyana,0.099999994,0.06641856,4.3525605,0.25
Jnana,0.099999994,0.057199817,4.405125,0.25
Karana,0.099999994,0.066226974,4.3646817,0.29166666
Ksepana,0.10000001,0.06529817,4.3692217,0.29166666
Namaskara,0.1,0.071830764,4.2963924,0.33333334
Tarjani,0.1,0.07353444,4.2994537,0.33333263
Unknown/Transition,0.099999994,0.054458514,4.4339623,0.25
Uttarabodhi,0.1,0.06860117,4.3333306,0.33333322
Varada,0.1,0.07822226,4.2778277,0.375
Vitarka,0.1,0.07311327,4.2954073,0.29166666
