class,mean_attention,std_attention,attention_entropy,max_attention
Abhaya,0.1,0.053323112,4.460588,0.2442199
Bhumisparsa,0.1,0.05020176,4.4700994,0.22393668
Dharmachakra,0.1,0.05132569,4.4716477,0.22803605
Dhyana,0.1,0.05049376,4.473785,0.21599959
Jnana,0.1,0.045843374,4.4916267,0.24533556
Karana,0.1,0.054233387,4.4425783,0.2213885
Ksepana,0.1,0.052133713,4.469867,0.2632625
Namaskara,0.099999994,0.05809752,4.4410167,0.25680056
Tarjani,0.10000001,0.050383862,4.481841,0.24678148
Unknown/Transition,0.1,0.05211006,4.467943,0.2678524
Uttarabodhi,0.1,0.061751444,4.416306,0.26512325
Varada,0.099999994,0.051983338,4.4736075,0.2653862
Vitarka,0.1,0.052940622,4.458687,0.25942516
